Otimização para log em ATLAS - Limites: eps_0_mg_0_a1_0_a2_1
Configuração: down | up | strategy | tol | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
======================================================================================================================================================
0.95 | 1.05 | 0 | 5e+00 | 300 | 0.356885 ± 0.000172 | 0.071535 ± 0.000159 | 1.441650 ± 0.003790 | 4.374968 ± 0.085036 | 0.699462
0.95 | 1.05 | 0 | 1e+00 | 300 | 0.356887 ± 0.000170 | 0.071535 ± 0.000159 | 1.441650 ± 0.003838 | 4.376692 ± 0.085039 | 0.699438
0.95 | 1.05 | 0 | 5e+00 | 400 | 0.356885 ± 0.000172 | 0.071535 ± 0.000159 | 1.441650 ± 0.003790 | 4.374968 ± 0.085036 | 0.699462
0.95 | 1.05 | 0 | 1e+00 | 400 | 0.356887 ± 0.000170 | 0.071535 ± 0.000159 | 1.441650 ± 0.003838 | 4.376692 ± 0.085039 | 0.699438
0.95 | 1.05 | 0 | 1e-01 | 400 | 0.356888 ± 0.000169 | 0.071535 ± 0.000163 | 1.441650 ± 0.003852 | 4.376896 ± 0.085033 | 0.699437
0.95 | 1.05 | 0 | 1e-02 | 400 | 0.356888 ± 0.000169 | 0.071535 ± 0.000168 | 1.441650 ± 0.003861 | 4.376761 ± 0.085025 | 0.699437
0.95 | 1.05 | 0 | 5e+00 | 500 | 0.356885 ± 0.000172 | 0.071535 ± 0.000159 | 1.441650 ± 0.003790 | 4.374968 ± 0.085036 | 0.699462
0.95 | 1.05 | 0 | 1e+00 | 500 | 0.356887 ± 0.000170 | 0.071535 ± 0.000159 | 1.441650 ± 0.003838 | 4.376692 ± 0.085039 | 0.699438
0.95 | 1.05 | 0 | 1e-01 | 500 | 0.356888 ± 0.000169 | 0.071535 ± 0.000163 | 1.441650 ± 0.003852 | 4.376896 ± 0.085033 | 0.699437
0.95 | 1.05 | 0 | 1e-02 | 500 | 0.356888 ± 0.000169 | 0.071535 ± 0.000168 | 1.441650 ± 0.003861 | 4.376761 ± 0.085025 | 0.699437
0.95 | 1.05 | 0 | 5e+00 | 600 | 0.356885 ± 0.000172 | 0.071535 ± 0.000159 | 1.441650 ± 0.003790 | 4.374968 ± 0.085036 | 0.699462
0.95 | 1.05 | 0 | 1e+00 | 600 | 0.356887 ± 0.000170 | 0.071535 ± 0.000159 | 1.441650 ± 0.003838 | 4.376692 ± 0.085039 | 0.699438
0.95 | 1.05 | 0 | 1e-01 | 600 | 0.356888 ± 0.000169 | 0.071535 ± 0.000163 | 1.441650 ± 0.003852 | 4.376896 ± 0.085033 | 0.699437
0.95 | 1.05 | 0 | 1e-02 | 600 | 0.356888 ± 0.000169 | 0.071535 ± 0.000168 | 1.441650 ± 0.003861 | 4.376761 ± 0.085025 | 0.699437
0.95 | 1.05 | 0 | 5e+00 | 700 | 0.356885 ± 0.000172 | 0.071535 ± 0.000159 | 1.441650 ± 0.003790 | 4.374968 ± 0.085036 | 0.699462
